,company_id
0,8197306
1,2327405
2,3262389
3,459379
4,847102
5,2224955
6,2124861
7,1260687
8,1561738
9,2198890
10,1618955
11,8132784
12,630547
13,1844474
14,2276375
15,188848
16,976774
17,1500960
18,1285007
19,2166597
20,553543
21,949789
22,1702975
23,3934880
24,133935
25,77279
26,5839037
27,971476
28,6603035
29,2212897
30,564490
31,110198
32,682319
33,1595694
34,195184
35,172356
36,4866061
37,2096211
38,1077219
39,1780085
40,1707491
41,66827
42,4086679
43,198328
44,163220
45,1815589
46,128894
47,1151184
48,134459
49,979685
50,103189
51,3637951
52,1037071
53,155856
54,195151
55,96524
56,6285197
57,1255815
58,1537650
59,1711247
60,61637
61,6525572
62,6242238
63,2123848
64,115225
65,98296
66,1649031
67,1040267
68,66955
69,1468751
70,533133
71,313440
72,8372161
73,2288833
74,147001
75,1120543
76,505526
77,5502278
78,1207296
79,1567358
80,133358
81,8287121
82,1685194
83,5736698
84,2171740
85,568836
86,4023279
87,10346
88,3892561
89,8241595
90,1473375
91,1164152
92,1867495
93,139281
94,87394
95,195484
96,5683847
97,665782
98,1778609
99,612950
100,7506496
101,3412119
102,1959683
103,203563
104,1158313
105,399266
106,183967
107,3253689
108,1969826
109,1189628
110,454492
111,1294597
112,1342631
113,5899431
114,91459
115,3490353
116,71642
117,8379745
118,1985154
119,2329030
120,1294124
121,5779768
122,676899
123,115639
124,1744391
125,971466
126,173689
127,3189105
128,715807
129,3251068
130,3271488
131,38936
132,1146742
133,5871305
134,4365798
135,103436
136,7940016
137,2101957
138,3026423
139,6780097
140,2167845
141,1048024
142,860199
143,39394
144,666278
145,8181993
146,28317
147,101964
148,713514
149,4086138
150,62611
151,1283351
152,2197182
153,7628217
154,821813
155,12305
156,684122
157,150276
158,199900
159,42367
160,37575
161,76697
162,38324
163,1013909
164,83941
165,2380050
166,101630
167,62797
168,51265
169,1062739
170,34040
171,6012028
172,1846867
173,1688934
174,1220761
175,2195713
176,198593
177,7102734
178,2299729
179,5319821
180,1484539
181,1530691
182,6841897
183,37191
184,73478
185,2201914
186,1186534
187,557240
188,1021705
189,497709
190,5309061
191,37692
192,1523537
193,12052
194,27608
195,639781
196,921949
197,1162647
198,550070
199,832291
200,8139257
201,111956
202,81063
203,1818412
204,4194338
205,87703
206,1985222
207,868596
208,2223839
209,1607087
210,1549357
211,110548
212,1592094
213,931575
214,1293137
215,1625793
216,1532665
217,15616
218,8443361
219,645675
220,33360
221,1663385
222,5701782
223,807690
224,1640724
225,1969359
226,5356121
227,849115
228,1573973
229,3386251
230,7480
231,1042046
232,1324301
233,38890
234,48625
235,1211559
236,3834996
237,17726
238,62560
239,110252
240,601915
241,1749829
242,864729
243,948773
244,1108902
245,982177
246,113011
247,32990
248,1506293
249,2118718
250,103301
251,1484244
252,13959
253,149446
254,2099590
255,79800
256,112374
257,2228673
258,5059800
259,67704
260,5446954
261,1267581
262,1748402
263,1733364
264,693912
265,1610527
266,7466
267,66988
268,108038
269,6085443
270,8538948
271,1568396
272,113318
273,1493518
274,313519
275,1949141
276,983520
277,3071948
278,100329
279,5682688
280,2181113
281,35970
282,70874
283,52711
284,1221601
285,1549820
286,1143810
287,5431201
288,1633304
289,12138
290,61437
291,8165677
292,200276
293,8438985
294,804071
295,2295087
296,1637309
297,6951955
298,663517
299,6137832
300,1372899
301,1386499
302,1136786
303,1139766
304,72559
305,2431737
306,5976749
307,1293490
308,29638
309,166945
310,1911558
311,23882
312,2369612
313,3356030
314,873514
315,1867828
316,93281
317,141505
318,1618239
319,6276508
320,3077805
321,6415552
322,134477
323,1848666
324,3497231
325,25817
326,4737579
327,1555432
328,1646713
329,1834585
330,5169541
331,818605
332,628
333,35449
334,858883
335,1537476
336,6103909
337,8487170
338,182680
339,1275357
340,1570756
341,6794493
342,1292536
343,8131298
344,196970
345,6186304
346,1672512
347,152535
348,1740862
349,146697
350,198431
351,985366
352,5197641
353,93820
354,1913735
355,5881051
356,145989
357,1219831
358,3043168
359,2321548
360,1904951
361,349
362,1288122
363,1291162
364,8937649
365,101370
366,2295990
367,347
368,7618056
369,2272732
370,1930449
371,938196
372,1201332
373,974248
374,1978467
375,1639817
376,81821
377,3378833
378,6098673
379,1224093
380,1949947
381,184431
382,965658
383,105829
384,94879
385,79904
386,67475
387,8433262
388,817130
389,54897
390,140962
391,1780571
392,1847032
393,81007
394,3302070
395,975230
396,6728433
397,44917
398,1705990
399,77921
400,1149602
401,1197424
402,1112026
403,54528
404,15976
405,1501190
406,1665220
407,198064
408,1951266
409,1225758
410,109898
411,89999
412,71731
413,2041474
414,5955011
415,2350149
416,1695135
417,1377640
418,6205834
419,111859
420,1910628
421,13279
422,5534305
423,6256653
424,1933310
425,1207374
426,3656503
427,933693
428,233848
429,1988374
430,46773
431,200378
432,4474067
433,1427863
434,4345184
435,1450238
436,103482
437,20813
438,6627253
439,1218519
440,362263
441,2244589
442,1753230
443,55116
444,427299
445,89623
446,44175
447,162190
448,1736802
449,1220619
450,1751800
451,164622
452,858346
453,22307
454,2209908
455,5045420
456,2121731
457,96440
458,1026090
459,177939
460,1761941
461,71415
462,8126695
463,1597658
464,2401870
465,1576063
466,195271
467,8829689
468,97411
469,612591
470,1770404
471,190372
472,1306639
473,1155817
474,8248439
475,8165657
476,1592053
477,1640798
478,319995
479,2155143
480,1832750
481,6368012
482,3184027
483,1756050
484,52782
485,79022
486,1930301
487,113972
488,5416803
489,2233026
490,199266
491,1563687
492,3736121
493,1571228
494,8165676
495,1725792
496,1880734
497,1099707
498,3121166
499,2076361
500,8375125
501,1827802
502,4865220
503,2396603
504,3702382
505,3518371
506,2134735
507,1676446
508,3679585
509,1409544
510,906493
511,1549377
512,84806
513,232556
514,147016
515,7110
516,312118
517,1716630
518,1111831
519,1292938
520,51257
521,1558237
522,153131
523,1763325
524,1760848
525,88164
526,2317932
527,5882429
528,1147613
529,35569
530,1419885
531,1614025
532,1018189
533,53530
534,674417
535,2500697
536,5902607
537,2144207
538,1040469
539,3026462
540,1120759
541,663854
542,146130
543,1220558
544,49923
545,2168656
546,191125
547,161208
548,197968
549,6201369
550,124251
551,8467142
552,3383015
553,524751
554,941319
555,1144393
556,6249078
557,6480
558,3228607
559,3199046
560,1568619
561,2199090
562,434148
563,845564
564,1222931
565,5894797
566,45726
567,118041
568,171978
569,1138159
570,379931
571,234932
572,1895080
573,3222809
574,1268687
575,163580
576,1783849
577,1757371
578,1392002
579,840005
580,963175
581,979055
582,1357001
583,298125
584,1799690
585,1944273
586,180562
587,977214
588,1622245
589,1591175
590,1577526
591,7513716
592,8338325
