,Company number:,NZBN:,Incorporation Date:,Company Status:,Entity type:,Constitution filed:,Ultimate holding company,Company record link:,company_id,address.Registered office address,address.Registered Office,address.Address for service,Directors
526,,,,,,,,,1882032,,,,
527,,,,,,,,,8153850,,,,
528,,,,,,,,,69797,,,,
529,,,,,,,,,5881048,,,,
530,,,,,,,,,6245412,,,,
531,,,,,,,,,1028561,,,,
532,,,,,,,,,1506234,,,,
533,,,,,,,,,69210,,,,
534,,,,,,,,,1299302,,,,
535,,,,,,,,,2452369,,,,
536,,,,,,,,,1762675,,,,
537,,,,,,,,,191068,,,,
538,,,,,,,,,1486888,,,,
539,,,,,,,,,1061553,,,,
540,,,,,,,,,54948,,,,
541,,,,,,,,,8576166,,,,
542,,,,,,,,,1857777,,,,
543,,,,,,,,,1671281,,,,
544,,,,,,,,,3187315,,,,
545,,,,,,,,,8034219,,,,
546,,,,,,,,,122130,,,,
547,,,,,,,,,1019064,,,,
548,,,,,,,,,2161817,,,,
549,,,,,,,,,16038,,,,
550,,,,,,,,,1566449,,,,
551,,,,,,,,,164780,,,,
552,,,,,,,,,125869,,,,
553,,,,,,,,,1607782,,,,
554,,,,,,,,,187223,,,,
555,,,,,,,,,5705471,,,,
556,,,,,,,,,418056,,,,
557,,,,,,,,,628560,,,,
558,,,,,,,,,8126159,,,,
559,,,,,,,,,1037049,,,,
560,,,,,,,,,917015,,,,
561,,,,,,,,,188429,,,,
562,,,,,,,,,3549551,,,,
563,,,,,,,,,2172237,,,,
564,,,,,,,,,4529739,,,,
565,,,,,,,,,200047,,,,
566,,,,,,,,,4969079,,,,
567,,,,,,,,,1859877,,,,
568,,,,,,,,,84587,,,,
569,,,,,,,,,36922,,,,
570,,,,,,,,,1273247,,,,
571,,,,,,,,,40309,,,,
572,,,,,,,,,160877,,,,
573,,,,,,,,,1857812,,,,
574,,,,,,,,,364340,,,,
575,,,,,,,,,1368856,,,,
576,,,,,,,,,6003822,,,,
577,,,,,,,,,1024444,,,,
578,,,,,,,,,975647,,,,
579,,,,,,,,,1858395,,,,
580,,,,,,,,,5841023,,,,
581,,,,,,,,,69091,,,,
582,,,,,,,,,1021217,,,,
583,,,,,,,,,653671,,,,
584,,,,,,,,,2090282,,,,
585,,,,,,,,,3774777,,,,
586,,,,,,,,,2150013,,,,
587,,,,,,,,,8102456,,,,
588,,,,,,,,,3019021,,,,
589,,,,,,,,,185993,,,,
590,,,,,,,,,1826870,,,,
591,,,,,,,,,6022615,,,,
592,,,,,,,,,956118,,,,
593,,,,,,,,,1145289,,,,
594,,,,,,,,,186493,,,,
595,,,,,,,,,575412,,,,
596,,,,,,,,,302538,,,,
597,,,,,,,,,2044933,,,,
598,,,,,,,,,836541,,,,
599,,,,,,,,,73767,,,,
600,,,,,,,,,1642940,,,,
601,,,,,,,,,115353,,,,
602,,,,,,,,,348364,,,,
603,,,,,,,,,1184093,,,,
604,,,,,,,,,7884419,,,,
605,,,,,,,,,91661,,,,
606,,,,,,,,,68824,,,,
607,,,,,,,,,1646363,,,,
608,,,,,,,,,577540,,,,
609,,,,,,,,,1868552,,,,
610,,,,,,,,,531645,,,,
611,,,,,,,,,87732,,,,
612,,,,,,,,,118984,,,,
613,,,,,,,,,145326,,,,
614,,,,,,,,,1163596,,,,
615,,,,,,,,,1245262,,,,
616,,,,,,,,,839395,,,,
617,,,,,,,,,87793,,,,
618,,,,,,,,,50702,,,,
619,,,,,,,,,2175155,,,,
620,,,,,,,,,1589242,,,,
621,,,,,,,,,3687737,,,,
622,,,,,,,,,133263,,,,
623,,,,,,,,,179595,,,,
624,,,,,,,,,107053,,,,
625,,,,,,,,,1623218,,,,
626,,,,,,,,,3196790,,,,
627,,,,,,,,,1585547,,,,
628,,,,,,,,,88563,,,,
629,,,,,,,,,66766,,,,
630,,,,,,,,,49773,,,,
631,,,,,,,,,1601763,,,,
632,,,,,,,,,69051,,,,
633,,,,,,,,,1534761,,,,
634,,,,,,,,,167088,,,,
635,,,,,,,,,1053814,,,,
636,,,,,,,,,931691,,,,
637,,,,,,,,,200035,,,,
638,,,,,,,,,46861,,,,
639,,,,,,,,,2088580,,,,
640,,,,,,,,,1660364,,,,
641,,,,,,,,,140537,,,,
642,,,,,,,,,82456,,,,
643,,,,,,,,,164164,,,,
644,,,,,,,,,935009,,,,
645,,,,,,,,,77707,,,,
646,,,,,,,,,1068642,,,,
647,,,,,,,,,17850,,,,
648,,,,,,,,,8484813,,,,
649,,,,,,,,,147863,,,,
650,,,,,,,,,6288536,,,,
651,,,,,,,,,131395,,,,
652,,,,,,,,,1891548,,,,
653,,,,,,,,,1539502,,,,
654,,,,,,,,,3670231,,,,
655,,,,,,,,,71445,,,,
656,,,,,,,,,8129777,,,,
657,,,,,,,,,1242913,,,,
658,,,,,,,,,621546,,,,
659,,,,,,,,,102678,,,,
660,,,,,,,,,1344070,,,,
661,,,,,,,,,1581094,,,,
662,,,,,,,,,5147162,,,,
663,,,,,,,,,2226257,,,,
664,,,,,,,,,35579,,,,
665,,,,,,,,,47225,,,,
666,,,,,,,,,62904,,,,
667,,,,,,,,,546743,,,,
668,,,,,,,,,1785581,,,,
669,,,,,,,,,711122,,,,
670,,,,,,,,,10758,,,,
671,,,,,,,,,4153978,,,,
672,,,,,,,,,9203,,,,
673,,,,,,,,,65356,,,,
674,,,,,,,,,816396,,,,
675,,,,,,,,,868483,,,,
676,,,,,,,,,3527552,,,,
677,,,,,,,,,193533,,,,
678,,,,,,,,,8154909,,,,
679,,,,,,,,,1628125,,,,
680,,,,,,,,,2063380,,,,
681,,,,,,,,,2243496,,,,
682,,,,,,,,,197394,,,,
683,,,,,,,,,1866329,,,,
684,,,,,,,,,75802,,,,
685,,,,,,,,,140272,,,,
686,,,,,,,,,1275537,,,,
687,,,,,,,,,1172547,,,,
688,,,,,,,,,68428,,,,
689,,,,,,,,,8799674,,,,
690,,,,,,,,,5970895,,,,
691,,,,,,,,,175168,,,,
692,,,,,,,,,1434136,,,,
693,,,,,,,,,2440721,,,,
694,,,,,,,,,205437,,,,
695,,,,,,,,,188197,,,,
696,,,,,,,,,112082,,,,
697,,,,,,,,,1831750,,,,
698,,,,,,,,,7890497,,,,
699,,,,,,,,,1950826,,,,
700,,,,,,,,,1079141,,,,
701,,,,,,,,,2479678,,,,
702,,,,,,,,,1498375,,,,
703,,,,,,,,,173280,,,,
704,,,,,,,,,892281,,,,
705,,,,,,,,,1075161,,,,
706,,,,,,,,,88858,,,,
707,,,,,,,,,2207596,,,,
708,,,,,,,,,1890897,,,,
709,,,,,,,,,1570041,,,,
710,,,,,,,,,134720,,,,
711,,,,,,,,,2131913,,,,
712,,,,,,,,,7442,,,,
713,,,,,,,,,1187211,,,,
714,,,,,,,,,7549256,,,,
715,,,,,,,,,7008114,,,,
716,,,,,,,,,92689,,,,
717,,,,,,,,,199161,,,,
718,,,,,,,,,1889268,,,,
719,,,,,,,,,1460662,,,,
720,,,,,,,,,82998,,,,
721,,,,,,,,,2140685,,,,
722,,,,,,,,,21364,,,,
723,,,,,,,,,1115829,,,,
724,,,,,,,,,1891001,,,,
725,,,,,,,,,88006,,,,
726,,,,,,,,,3309148,,,,
727,,,,,,,,,3025665,,,,
728,,,,,,,,,4455738,,,,
729,,,,,,,,,109265,,,,
730,,,,,,,,,6002610,,,,
731,,,,,,,,,161104,,,,
732,,,,,,,,,2163046,,,,
733,,,,,,,,,1763772,,,,
734,,,,,,,,,123321,,,,
735,,,,,,,,,1987512,,,,
736,,,,,,,,,1712327,,,,
737,,,,,,,,,7095222,,,,
738,,,,,,,,,200809,,,,
739,,,,,,,,,38023,,,,
740,,,,,,,,,5142987,,,,
741,,,,,,,,,194454,,,,
742,,,,,,,,,1516593,,,,
743,,,,,,,,,5675128,,,,
744,,,,,,,,,1199347,,,,
745,,,,,,,,,2354739,,,,
746,,,,,,,,,375446,,,,
747,,,,,,,,,6310333,,,,
748,,,,,,,,,48707,,,,
749,,,,,,,,,5754107,,,,
750,,,,,,,,,2111297,,,,
751,,,,,,,,,8440242,,,,
752,,,,,,,,,88926,,,,
753,,,,,,,,,7216733,,,,
754,,,,,,,,,5343081,,,,
755,,,,,,,,,196291,,,,
756,,,,,,,,,2135452,,,,
757,,,,,,,,,201614,,,,
758,,,,,,,,,78415,,,,
759,,,,,,,,,1538628,,,,
760,,,,,,,,,2283428,,,,
761,,,,,,,,,956052,,,,
762,,,,,,,,,188543,,,,
763,,,,,,,,,2206136,,,,
764,,,,,,,,,78601,,,,
765,,,,,,,,,80363,,,,
766,,,,,,,,,106992,,,,
767,,,,,,,,,179596,,,,
768,,,,,,,,,1273465,,,,
