,Company number:,NZBN:,Incorporation Date:,Company Status:,Entity type:,Constitution filed:,Ultimate holding company,Company record link:,company_id,address.Registered office address,address.Registered Office,address.Address for service,Directors
0,88733,9429040529769,19 Sep 1973,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco88733,88733,,"Official Assignee, 6th Floor Justice Dept Bldg, 3 Kingston Street, Auckland
, New Zealand",,
1,55314,9429040705194,13 Jun 1957,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco55314,55314,,"123 Main Highway, Ellerslie, Auckland
, New Zealand",,
2,426274,9429039348425,13 Apr 1989,Removed,NZ Limited Company,No,No,httpsapp.companiesoffice.govt.nzco426274,426274,,"L B Keys, 12 King Street, Pukekohe
, New Zealand","12 King St, Pukekohe
, New Zealand",Showing 2 of 2 directors
3,1408622,9429035745785,25 Sep 2003,Removed,NZ Limited Company,Yes,Not specified,httpsapp.companiesoffice.govt.nzco1408622,1408622,,"50 Tennyson Street, Napier South, Napier, 4110
, New Zealand","50 Tennyson Street, Napier South, Napier, 4110
, New Zealand",Showing 1 of 1 directors
4,182306,9429040132679,08 Jul 1959,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco182306,182306,,"Co Shannon & Wrigley, 71 Duke St Box 223, Cambridge
, New Zealand",,
5,1041364,9429037230913,08 Jun 2000,Removed,NZ Limited Company,Yes,Not specified,httpsapp.companiesoffice.govt.nzco1041364,1041364,,"C/- Baker Kytola, Chartered Accountants, 6 Richardson St, Whakatane
, New Zealand","C/- Baker Kytola, Chartered Accountants, 6 Richardson St, Whakatane
, New Zealand",Showing 2 of 2 directors
6,6647,9429040959047,30 Mar 1950,Removed,NZ Limited Company,No,No,httpsapp.companiesoffice.govt.nzco6647,6647,,"Perpetual Guardian -  Estate S Rosenblum, Level 14, 191 Queen Street, Auckland Central, Auckland, 1010
, New Zealand","Perpetual Guardian -  Estate S Rosenblum, Level 14, 191 Queen Street, Auckland Central, Auckland, 1010
, New Zealand",Showing 1 of 1 directors
7,6933954,9429046905772,17 Jul 2018,Removed,NZ Limited Company,No,No,httpsapp.companiesoffice.govt.nzco6933954,6933954,,"MAUDE & MILLER, Level 7, Bnz Tower, 14 Hartham Place, Porirua, Porirua, 5022
, New Zealand","MAUDE & MILLER, Level 7, Bnz Tower, 14 Hartham Place, Porirua, Porirua, 5022
, New Zealand",Showing 2 of 2 directors
8,103437,9429040414485,12 Jul 1978,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco103437,103437,,"29 Nugent St, Mt Eden
, New Zealand",,
9,831205,9429038213731,14 Oct 1996,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco831205,831205,,"8 Cavalry Close, Crofton Downs, Wellington
, New Zealand","8 Cavalry Close, Crofton Downs, Wellington
, New Zealand",Showing 2 of 3 directors
