,Company number:,NZBN:,Incorporation Date:,Company Status:,Entity type:,Constitution filed:,Ultimate holding company,Directors,Company record link:,company_id,address.Registered office address,address.Registered Office,address.Address for service,Country of Origin:,FRA Reporting Month:,address.Principal place of business in NZ,address.Address of person authorised to accept service in NZ
82,861581,9429038067259,27 Jun 1997,Removed,NZ Limited Company,Yes,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco861581,861581,,"Level 2, 5-7 Kingdon Street, Newmarket, Auckland, 1023
, New Zealand","Level 2, 5-7 Kingdon Street, Newmarket, Auckland, 1023
, New Zealand",,,,
83,2005275,9429033096421,02 Nov 2007,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco2005275,2005275,,"58 Te Ara Aukati Terrace, Pokeno, 2471
, New Zealand","58 Te Ara Aukati Terrace, Pokeno, 2471
, New Zealand",,,,
84,6050453,9429042458555,13 Jul 2016,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco6050453,6050453,,"SAI SYSTEMS LIMITED, 14 Kahikatea Grove, Paparangi, Wellington, 6037
, New Zealand","Mr YASH GHAVRI, 14 Kahikatea Grove, Paparangi, Wellington, 6037
, New Zealand",,,,
85,5404981,9429041339862,25 Jul 2014,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco5404981,5404981,,"Alex Lee Lawyers Ltd, Suite 2, 72 Dominion Road, Mount Eden, Auckland, 1024
, New Zealand","Alex Lee Lawyers Ltd, 2/72 Dominion Road, Mount Eden, Auckland, 1024
, New Zealand",,,,
86,1506527,9429035428336,21 Apr 2004,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1506527,1506527,,"Level 3, 280 Parnell Road, Parnell, Auckland
, New Zealand","Level 3, 280 Parnell Rd, Parnell, Auckland
, New Zealand",,,,
87,1755333,9429034357071,10 Jan 2006,Removed,NZ Limited Company,Yes,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1755333,1755333,,"393 Gladstone Road, Gisborne
, New Zealand","393 Gladstone Road, Gisborne
, New Zealand",,,,
88,5850069,9429042075141,18 Nov 2015,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco5850069,5850069,,"71 Rosamund Avenue, New Windsor, Auckland, 0600
, New Zealand","71 Rosamund Avenue, New Windsor, Auckland, 0600
, New Zealand",,,,
89,1614769,9429034866993,06 Apr 2005,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1614769,1614769,,"25b Hartland Place, Welbourn, New Plymouth
, New Zealand","25b Hartland Place, Welbourn, New Plymouth
, New Zealand",,,,
90,7871911,9429047898424,24 Jan 2020,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco7871911,7871911,,"22 Prosser Street, Elsdon, Porirua, 5022
, New Zealand","22 Prosser Street, Elsdon, Porirua, 5022
, New Zealand",,,,
91,465049,9429039235282,13 Mar 1990,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco465049,465049,,"46 Parkway Drive, Mairangi Bay, Auckland
, New Zealand","-
, New Zealand",,,,
92,1795308,9429034209141,05 Apr 2006,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1795308,1795308,,"101 Te Kohanga Road, Tauranga, 3179
, New Zealand","101 Te Kohanga Road, Tauranga, 3179
, New Zealand",,,,
93,5862939,9429042106777,14 Dec 2015,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco5862939,5862939,,"Russell Dale, 80 Tihi Road, Springfield, Rotorua, 3015
, New Zealand","Russell Dale, 80 Tihi Road, Springfield, Rotorua, 3015
, New Zealand",,,,
94,,,,,,,,,,2249739,,,,,,,
95,6022247,9429042405108,16 Jun 2016,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco6022247,6022247,,"Y & S Homes Limited, 36 Rathmullen Place, Pinehill, Auckland, 0632
, New Zealand","Y & S Homes Limited, 36 Rathmullen Place, Pinehill, Auckland, 0632
, New Zealand",,,,
96,,,,,,,,,,3896856,,,,,,,
97,,,,,,,,,,1507274,,,,,,,
98,,,,,,,,,,1887989,,,,,,,
99,,,,,,,,,,3657911,,,,,,,
100,,,,,,,,,,1816315,,,,,,,
101,,,,,,,,,,201516,,,,,,,
102,,,,,,,,,,1530954,,,,,,,
103,,,,,,,,,,960239,,,,,,,
104,,,,,,,,,,710934,,,,,,,
105,,,,,,,,,,1110273,,,,,,,
106,,,,,,,,,,2445879,,,,,,,
107,,,,,,,,,,5402042,,,,,,,
108,,,,,,,,,,4313499,,,,,,,
109,,,,,,,,,,5919521,,,,,,,
110,,,,,,,,,,5785267,,,,,,,
111,,,,,,,,,,1295838,,,,,,,
112,,,,,,,,,,83141,,,,,,,
113,,,,,,,,,,952482,,,,,,,
114,,,,,,,,,,1189115,,,,,,,
115,,,,,,,,,,1764709,,,,,,,
116,,,,,,,,,,508772,,,,,,,
117,,,,,,,,,,2214126,,,,,,,
118,,,,,,,,,,3918560,,,,,,,
119,,,,,,,,,,1263210,,,,,,,
120,,,,,,,,,,8183310,,,,,,,
121,,,,,,,,,,1257606,,,,,,,
122,,,,,,,,,,1228310,,,,,,,
123,,,,,,,,,,1874382,,,,,,,
124,,,,,,,,,,3578911,,,,,,,
125,,,,,,,,,,2127185,,,,,,,
126,,,,,,,,,,2339048,,,,,,,
127,,,,,,,,,,3783636,,,,,,,
128,,,,,,,,,,1246208,,,,,,,
129,,,,,,,,,,38461,,,,,,,
130,,,,,,,,,,2254866,,,,,,,
131,,,,,,,,,,6136933,,,,,,,
132,,,,,,,,,,2121181,,,,,,,
133,,,,,,,,,,1976312,,,,,,,
134,,,,,,,,,,2405872,,,,,,,
135,,,,,,,,,,1588654,,,,,,,
136,,,,,,,,,,2229298,,,,,,,
137,,,,,,,,,,648529,,,,,,,
138,,,,,,,,,,1596840,,,,,,,
139,,,,,,,,,,3097225,,,,,,,
140,,,,,,,,,,201709,,,,,,,
141,,,,,,,,,,1918964,,,,,,,
142,,,,,,,,,,2170468,,,,,,,
143,,,,,,,,,,7727937,,,,,,,
144,,,,,,,,,,5888908,,,,,,,
145,,,,,,,,,,1433708,,,,,,,
146,,,,,,,,,,1880653,,,,,,,
147,,,,,,,,,,3653891,,,,,,,
148,,,,,,,,,,1860421,,,,,,,
149,,,,,,,,,,5889578,,,,,,,
150,,,,,,,,,,1548429,,,,,,,
151,,,,,,,,,,1274908,,,,,,,
152,,,,,,,,,,7861840,,,,,,,
153,,,,,,,,,,1340680,,,,,,,
154,,,,,,,,,,1946580,,,,,,,
155,,,,,,,,,,884358,,,,,,,
156,,,,,,,,,,634942,,,,,,,
157,,,,,,,,,,1009150,,,,,,,
158,,,,,,,,,,1673290,,,,,,,
159,,,,,,,,,,1944153,,,,,,,
160,,,,,,,,,,4440438,,,,,,,
161,,,,,,,,,,1765035,,,,,,,
162,,,,,,,,,,8376867,,,,,,,
163,,,,,,,,,,1643071,,,,,,,
164,,,,,,,,,,1235769,,,,,,,
165,,,,,,,,,,6248925,,,,,,,
166,,,,,,,,,,954360,,,,,,,
167,,,,,,,,,,960796,,,,,,,
168,,,,,,,,,,1502630,,,,,,,
169,,,,,,,,,,6903633,,,,,,,
170,,,,,,,,,,6848276,,,,,,,
171,,,,,,,,,,1674497,,,,,,,
172,,,,,,,,,,1209803,,,,,,,
173,,,,,,,,,,802308,,,,,,,
174,,,,,,,,,,1199527,,,,,,,
175,,,,,,,,,,3781382,,,,,,,
176,,,,,,,,,,1130389,,,,,,,
177,,,,,,,,,,164441,,,,,,,
178,,,,,,,,,,5455934,,,,,,,
179,,,,,,,,,,6256348,,,,,,,
180,,,,,,,,,,3623471,,,,,,,
181,,,,,,,,,,1362363,,,,,,,
182,,,,,,,,,,1269931,,,,,,,
183,,,,,,,,,,6885956,,,,,,,
184,,,,,,,,,,2465771,,,,,,,
185,,,,,,,,,,697339,,,,,,,
186,,,,,,,,,,1157664,,,,,,,
187,,,,,,,,,,959281,,,,,,,
188,,,,,,,,,,2277591,,,,,,,
189,,,,,,,,,,3761996,,,,,,,
190,,,,,,,,,,1471359,,,,,,,
191,,,,,,,,,,193789,,,,,,,
192,,,,,,,,,,3106745,,,,,,,
193,,,,,,,,,,300209,,,,,,,
194,,,,,,,,,,1572553,,,,,,,
195,,,,,,,,,,1827614,,,,,,,
196,,,,,,,,,,3446711,,,,,,,
197,,,,,,,,,,2497528,,,,,,,
198,,,,,,,,,,8090216,,,,,,,
199,,,,,,,,,,940159,,,,,,,
200,,,,,,,,,,2492060,,,,,,,
201,,,,,,,,,,254827,,,,,,,
202,,,,,,,,,,1644221,,,,,,,
203,,,,,,,,,,5799348,,,,,,,
204,,,,,,,,,,5884119,,,,,,,
205,,,,,,,,,,9064352,,,,,,,
206,,,,,,,,,,586437,,,,,,,
207,,,,,,,,,,3979638,,,,,,,
208,,,,,,,,,,5939047,,,,,,,
209,,,,,,,,,,7115595,,,,,,,
210,,,,,,,,,,920844,,,,,,,
211,,,,,,,,,,8151066,,,,,,,
212,,,,,,,,,,7147315,,,,,,,
213,,,,,,,,,,1150706,,,,,,,
214,,,,,,,,,,1338644,,,,,,,
215,,,,,,,,,,1293536,,,,,,,
216,,,,,,,,,,434763,,,,,,,
217,,,,,,,,,,1056965,,,,,,,
218,,,,,,,,,,1054550,,,,,,,
219,,,,,,,,,,1507021,,,,,,,
220,,,,,,,,,,1732639,,,,,,,
221,,,,,,,,,,2212789,,,,,,,
222,,,,,,,,,,1156648,,,,,,,
223,,,,,,,,,,2115786,,,,,,,
224,,,,,,,,,,2403273,,,,,,,
225,,,,,,,,,,1534422,,,,,,,
226,,,,,,,,,,1235986,,,,,,,
227,,,,,,,,,,1563900,,,,,,,
228,,,,,,,,,,140633,,,,,,,
229,,,,,,,,,,3752230,,,,,,,
230,,,,,,,,,,690921,,,,,,,
231,,,,,,,,,,209009,,,,,,,
232,,,,,,,,,,1852601,,,,,,,
233,,,,,,,,,,962250,,,,,,,
234,,,,,,,,,,2095429,,,,,,,
235,,,,,,,,,,7899356,,,,,,,
236,,,,,,,,,,7967576,,,,,,,
237,,,,,,,,,,1602032,,,,,,,
238,,,,,,,,,,3150746,,,,,,,
239,,,,,,,,,,302566,,,,,,,
240,,,,,,,,,,3213046,,,,,,,
241,,,,,,,,,,2260207,,,,,,,
242,,,,,,,,,,1469199,,,,,,,
243,,,,,,,,,,1650742,,,,,,,
244,,,,,,,,,,687391,,,,,,,
245,,,,,,,,,,5773796,,,,,,,
246,,,,,,,,,,1183911,,,,,,,
247,,,,,,,,,,2199540,,,,,,,
248,,,,,,,,,,1491060,,,,,,,
249,,,,,,,,,,1131010,,,,,,,
250,,,,,,,,,,1922863,,,,,,,
251,,,,,,,,,,341754,,,,,,,
252,,,,,,,,,,3425295,,,,,,,
253,,,,,,,,,,1253296,,,,,,,
254,,,,,,,,,,437236,,,,,,,
255,,,,,,,,,,2505815,,,,,,,
256,,,,,,,,,,6256358,,,,,,,
257,,,,,,,,,,3976119,,,,,,,
258,,,,,,,,,,1220003,,,,,,,
259,,,,,,,,,,2514948,,,,,,,
260,,,,,,,,,,1176715,,,,,,,
261,,,,,,,,,,8390858,,,,,,,
262,,,,,,,,,,1807143,,,,,,,
263,,,,,,,,,,3726658,,,,,,,
264,,,,,,,,,,1907036,,,,,,,
265,,,,,,,,,,3666096,,,,,,,
266,,,,,,,,,,1686718,,,,,,,
267,,,,,,,,,,1594014,,,,,,,
268,,,,,,,,,,1056962,,,,,,,
269,,,,,,,,,,7720418,,,,,,,
270,,,,,,,,,,6242968,,,,,,,
271,,,,,,,,,,6001731,,,,,,,
272,,,,,,,,,,3906346,,,,,,,
273,,,,,,,,,,5584365,,,,,,,
274,,,,,,,,,,1579079,,,,,,,
275,,,,,,,,,,2157464,,,,,,,
276,,,,,,,,,,1555121,,,,,,,
277,,,,,,,,,,881439,,,,,,,
278,,,,,,,,,,2189275,,,,,,,
279,,,,,,,,,,1855373,,,,,,,
280,,,,,,,,,,6120450,,,,,,,
281,,,,,,,,,,4950340,,,,,,,
282,,,,,,,,,,1254643,,,,,,,
283,,,,,,,,,,2249654,,,,,,,
284,,,,,,,,,,1800129,,,,,,,
285,,,,,,,,,,173199,,,,,,,
286,,,,,,,,,,8112718,,,,,,,
287,,,,,,,,,,5998829,,,,,,,
288,,,,,,,,,,5768727,,,,,,,
289,,,,,,,,,,29038,,,,,,,
290,,,,,,,,,,904502,,,,,,,
291,,,,,,,,,,1191882,,,,,,,
292,,,,,,,,,,1618532,,,,,,,
293,,,,,,,,,,1504167,,,,,,,
294,,,,,,,,,,5500064,,,,,,,
295,,,,,,,,,,1682773,,,,,,,
296,,,,,,,,,,946588,,,,,,,
297,,,,,,,,,,2271191,,,,,,,
298,,,,,,,,,,3286628,,,,,,,
299,,,,,,,,,,706629,,,,,,,
300,,,,,,,,,,1805515,,,,,,,
301,,,,,,,,,,6241387,,,,,,,
302,,,,,,,,,,1216700,,,,,,,
303,,,,,,,,,,526477,,,,,,,
304,,,,,,,,,,1957123,,,,,,,
305,,,,,,,,,,3825117,,,,,,,
306,,,,,,,,,,2485510,,,,,,,
307,,,,,,,,,,5362321,,,,,,,
308,,,,,,,,,,5716153,,,,,,,
309,,,,,,,,,,2122671,,,,,,,
310,,,,,,,,,,1127083,,,,,,,
311,,,,,,,,,,3680782,,,,,,,
312,,,,,,,,,,819895,,,,,,,
313,,,,,,,,,,207629,,,,,,,
314,,,,,,,,,,1985390,,,,,,,
315,,,,,,,,,,1955796,,,,,,,
316,,,,,,,,,,5796933,,,,,,,
317,,,,,,,,,,1952616,,,,,,,
318,,,,,,,,,,6850753,,,,,,,
319,,,,,,,,,,1948702,,,,,,,
320,,,,,,,,,,1040050,,,,,,,
321,,,,,,,,,,8110736,,,,,,,
322,,,,,,,,,,4038218,,,,,,,
323,,,,,,,,,,1138240,,,,,,,
324,,,,,,,,,,5147761,,,,,,,
325,,,,,,,,,,1232365,,,,,,,
326,,,,,,,,,,5798200,,,,,,,
327,,,,,,,,,,664209,,,,,,,
328,,,,,,,,,,5830001,,,,,,,
329,,,,,,,,,,1247934,,,,,,,
330,,,,,,,,,,8320324,,,,,,,
331,,,,,,,,,,1419882,,,,,,,
332,,,,,,,,,,1480281,,,,,,,
333,,,,,,,,,,32043,,,,,,,
334,,,,,,,,,,478564,,,,,,,
335,,,,,,,,,,1173870,,,,,,,
336,,,,,,,,,,2243211,,,,,,,
337,,,,,,,,,,76594,,,,,,,
338,,,,,,,,,,964645,,,,,,,
339,,,,,,,,,,1940471,,,,,,,
340,,,,,,,,,,5486803,,,,,,,
341,,,,,,,,,,3173828,,,,,,,
342,,,,,,,,,,508456,,,,,,,
343,,,,,,,,,,616820,,,,,,,
344,,,,,,,,,,1147766,,,,,,,
345,,,,,,,,,,4560440,,,,,,,
346,,,,,,,,,,6950417,,,,,,,
347,,,,,,,,,,6304050,,,,,,,
348,,,,,,,,,,174696,,,,,,,
349,,,,,,,,,,2199492,,,,,,,
350,,,,,,,,,,6834622,,,,,,,
351,,,,,,,,,,4949539,,,,,,,
352,,,,,,,,,,397323,,,,,,,
353,,,,,,,,,,316780,,,,,,,
354,,,,,,,,,,807325,,,,,,,
355,,,,,,,,,,3255468,,,,,,,
356,,,,,,,,,,7559276,,,,,,,
357,,,,,,,,,,1890990,,,,,,,
358,,,,,,,,,,1646941,,,,,,,
359,,,,,,,,,,4466819,,,,,,,
360,,,,,,,,,,1949575,,,,,,,
361,,,,,,,,,,6262922,,,,,,,
362,,,,,,,,,,5976009,,,,,,,
363,,,,,,,,,,146,,,,,,,
364,,,,,,,,,,458867,,,,,,,
365,,,,,,,,,,2277588,,,,,,,
366,,,,,,,,,,6167348,,,,,,,
367,,,,,,,,,,1764379,,,,,,,
368,,,,,,,,,,2236586,,,,,,,
369,,,,,,,,,,1703115,,,,,,,
370,,,,,,,,,,5115581,,,,,,,
371,,,,,,,,,,6545513,,,,,,,
372,,,,,,,,,,1951936,,,,,,,
373,,,,,,,,,,314414,,,,,,,
374,,,,,,,,,,6271995,,,,,,,
375,,,,,,,,,,5022920,,,,,,,
376,,,,,,,,,,1291631,,,,,,,
377,,,,,,,,,,75232,,,,,,,
378,,,,,,,,,,1986829,,,,,,,
379,,,,,,,,,,1448761,,,,,,,
380,,,,,,,,,,1200070,,,,,,,
381,,,,,,,,,,7752558,,,,,,,
382,,,,,,,,,,8153334,,,,,,,
383,,,,,,,,,,1012598,,,,,,,
384,,,,,,,,,,1226533,,,,,,,
385,,,,,,,,,,1052193,,,,,,,
386,,,,,,,,,,1182982,,,,,,,
387,,,,,,,,,,198418,,,,,,,
388,,,,,,,,,,3231632,,,,,,,
389,,,,,,,,,,200020,,,,,,,
390,,,,,,,,,,8143661,,,,,,,
391,,,,,,,,,,594560,,,,,,,
392,,,,,,,,,,806489,,,,,,,
393,,,,,,,,,,2173410,,,,,,,
394,,,,,,,,,,7795338,,,,,,,
395,,,,,,,,,,6602173,,,,,,,
396,,,,,,,,,,1153731,,,,,,,
397,,,,,,,,,,2225371,,,,,,,
398,,,,,,,,,,2001118,,,,,,,
399,,,,,,,,,,645443,,,,,,,
400,,,,,,,,,,1939081,,,,,,,
401,,,,,,,,,,1600165,,,,,,,
402,,,,,,,,,,1027513,,,,,,,
403,,,,,,,,,,5399164,,,,,,,
404,,,,,,,,,,1187820,,,,,,,
405,,,,,,,,,,705344,,,,,,,
406,,,,,,,,,,1427944,,,,,,,
407,,,,,,,,,,90911,,,,,,,
408,,,,,,,,,,1185700,,,,,,,
409,,,,,,,,,,115381,,,,,,,
410,,,,,,,,,,4910159,,,,,,,
411,,,,,,,,,,7287516,,,,,,,
412,,,,,,,,,,3133711,,,,,,,
413,,,,,,,,,,973555,,,,,,,
414,,,,,,,,,,1355516,,,,,,,
415,,,,,,,,,,4618499,,,,,,,
416,,,,,,,,,,5483089,,,,,,,
417,,,,,,,,,,5497927,,,,,,,
418,,,,,,,,,,6023147,,,,,,,
419,,,,,,,,,,917145,,,,,,,
420,,,,,,,,,,831198,,,,,,,
421,,,,,,,,,,6357976,,,,,,,
422,,,,,,,,,,1658854,,,,,,,
423,,,,,,,,,,597878,,,,,,,
424,,,,,,,,,,198113,,,,,,,
425,,,,,,,,,,2054595,,,,,,,
426,,,,,,,,,,4559799,,,,,,,
427,,,,,,,,,,1904426,,,,,,,
428,,,,,,,,,,1282467,,,,,,,
429,,,,,,,,,,1521572,,,,,,,
430,,,,,,,,,,1820388,,,,,,,
431,,,,,,,,,,1283272,,,,,,,
432,,,,,,,,,,1123556,,,,,,,
433,,,,,,,,,,422713,,,,,,,
434,,,,,,,,,,119382,,,,,,,
435,,,,,,,,,,511235,,,,,,,
436,,,,,,,,,,1968925,,,,,,,
437,,,,,,,,,,1240681,,,,,,,
438,,,,,,,,,,6334396,,,,,,,
439,,,,,,,,,,1119650,,,,,,,
440,,,,,,,,,,4344138,,,,,,,
441,,,,,,,,,,3425416,,,,,,,
442,,,,,,,,,,2202729,,,,,,,
443,,,,,,,,,,1114562,,,,,,,
444,,,,,,,,,,449435,,,,,,,
445,,,,,,,,,,1949653,,,,,,,
446,,,,,,,,,,1184088,,,,,,,
447,,,,,,,,,,2059258,,,,,,,
448,,,,,,,,,,1963058,,,,,,,
449,,,,,,,,,,6885436,,,,,,,
450,,,,,,,,,,815927,,,,,,,
451,,,,,,,,,,3932104,,,,,,,
452,,,,,,,,,,976828,,,,,,,
453,,,,,,,,,,101340,,,,,,,
454,,,,,,,,,,1782758,,,,,,,
455,,,,,,,,,,2120705,,,,,,,
456,,,,,,,,,,1731299,,,,,,,
457,,,,,,,,,,1834090,,,,,,,
458,,,,,,,,,,3331571,,,,,,,
459,,,,,,,,,,857823,,,,,,,
460,,,,,,,,,,160452,,,,,,,
461,,,,,,,,,,1416180,,,,,,,
462,,,,,,,,,,1919941,,,,,,,
463,,,,,,,,,,101636,,,,,,,
464,,,,,,,,,,656356,,,,,,,
465,,,,,,,,,,274977,,,,,,,
466,,,,,,,,,,1491342,,,,,,,
467,,,,,,,,,,5929061,,,,,,,
468,,,,,,,,,,1248761,,,,,,,
469,,,,,,,,,,1175378,,,,,,,
470,,,,,,,,,,9134652,,,,,,,
471,,,,,,,,,,2169655,,,,,,,
472,,,,,,,,,,2363508,,,,,,,
473,,,,,,,,,,823834,,,,,,,
474,,,,,,,,,,6039661,,,,,,,
475,,,,,,,,,,1423251,,,,,,,
476,,,,,,,,,,1288974,,,,,,,
477,,,,,,,,,,921917,,,,,,,
478,,,,,,,,,,1624955,,,,,,,
479,,,,,,,,,,1793984,,,,,,,
480,,,,,,,,,,5811029,,,,,,,
481,,,,,,,,,,109485,,,,,,,
482,,,,,,,,,,3724018,,,,,,,
483,,,,,,,,,,1732513,,,,,,,
484,,,,,,,,,,1833814,,,,,,,
485,,,,,,,,,,4415958,,,,,,,
486,,,,,,,,,,1577028,,,,,,,
487,,,,,,,,,,1143644,,,,,,,
488,,,,,,,,,,1147123,,,,,,,
489,,,,,,,,,,7012614,,,,,,,
490,,,,,,,,,,1135073,,,,,,,
491,,,,,,,,,,3711647,,,,,,,
492,,,,,,,,,,116848,,,,,,,
493,,,,,,,,,,9014696,,,,,,,
494,,,,,,,,,,955787,,,,,,,
495,,,,,,,,,,2127692,,,,,,,
496,,,,,,,,,,79395,,,,,,,
497,,,,,,,,,,970569,,,,,,,
498,,,,,,,,,,105316,,,,,,,
499,,,,,,,,,,7763057,,,,,,,
500,,,,,,,,,,1534474,,,,,,,
501,,,,,,,,,,95450,,,,,,,
502,,,,,,,,,,877990,,,,,,,
503,,,,,,,,,,1882132,,,,,,,
504,,,,,,,,,,2492048,,,,,,,
505,,,,,,,,,,4913600,,,,,,,
506,,,,,,,,,,1024792,,,,,,,
507,,,,,,,,,,1531262,,,,,,,
508,,,,,,,,,,2188996,,,,,,,
509,,,,,,,,,,1023623,,,,,,,
510,,,,,,,,,,8192926,,,,,,,
511,,,,,,,,,,1777372,,,,,,,
512,,,,,,,,,,1417741,,,,,,,
513,,,,,,,,,,1595293,,,,,,,
514,,,,,,,,,,1981872,,,,,,,
515,,,,,,,,,,969526,,,,,,,
516,,,,,,,,,,1097297,,,,,,,
517,,,,,,,,,,2215674,,,,,,,
518,,,,,,,,,,1965245,,,,,,,
519,,,,,,,,,,1890987,,,,,,,
520,,,,,,,,,,3174265,,,,,,,
521,,,,,,,,,,1848201,,,,,,,
522,,,,,,,,,,1851252,,,,,,,
523,,,,,,,,,,6155572,,,,,,,
524,,,,,,,,,,1965396,,,,,,,
525,,,,,,,,,,1103495,,,,,,,
526,,,,,,,,,,1624441,,,,,,,
527,,,,,,,,,,1898969,,,,,,,
528,,,,,,,,,,2384385,,,,,,,
529,,,,,,,,,,101535,,,,,,,
530,,,,,,,,,,1260977,,,,,,,
531,,,,,,,,,,707211,,,,,,,
532,,,,,,,,,,8267850,,,,,,,
533,,,,,,,,,,846327,,,,,,,
534,,,,,,,,,,1628212,,,,,,,
535,,,,,,,,,,2243511,,,,,,,
536,,,,,,,,,,3917420,,,,,,,
537,,,,,,,,,,3407035,,,,,,,
538,,,,,,,,,,5600945,,,,,,,
539,,,,,,,,,,523031,,,,,,,
540,,,,,,,,,,1165702,,,,,,,
541,,,,,,,,,,1218009,,,,,,,
542,,,,,,,,,,1575935,,,,,,,
543,,,,,,,,,,1539073,,,,,,,
544,,,,,,,,,,1267542,,,,,,,
545,,,,,,,,,,2470589,,,,,,,
546,,,,,,,,,,5656387,,,,,,,
547,,,,,,,,,,1973197,,,,,,,
548,,,,,,,,,,8395941,,,,,,,
549,,,,,,,,,,8153307,,,,,,,
550,,,,,,,,,,2309282,,,,,,,
551,,,,,,,,,,876024,,,,,,,
552,,,,,,,,,,6804413,,,,,,,
553,,,,,,,,,,2425308,,,,,,,
554,,,,,,,,,,70111,,,,,,,
555,,,,,,,,,,4156078,,,,,,,
556,,,,,,,,,,1818926,,,,,,,
557,,,,,,,,,,2439734,,,,,,,
558,,,,,,,,,,1212775,,,,,,,
559,,,,,,,,,,7551822,,,,,,,
560,,,,,,,,,,1627769,,,,,,,
561,,,,,,,,,,2065066,,,,,,,
562,,,,,,,,,,1175793,,,,,,,
563,,,,,,,,,,1005085,,,,,,,
564,,,,,,,,,,5140521,,,,,,,
565,,,,,,,,,,641915,,,,,,,
566,,,,,,,,,,1978881,,,,,,,
567,,,,,,,,,,1536650,,,,,,,
568,,,,,,,,,,137145,,,,,,,
569,,,,,,,,,,686947,,,,,,,
570,,,,,,,,,,1027086,,,,,,,
571,,,,,,,,,,1776686,,,,,,,
572,,,,,,,,,,5410682,,,,,,,
573,,,,,,,,,,1642427,,,,,,,
574,,,,,,,,,,664633,,,,,,,
575,,,,,,,,,,2177113,,,,,,,
576,,,,,,,,,,1939547,,,,,,,
577,,,,,,,,,,27850,,,,,,,
578,,,,,,,,,,974391,,,,,,,
579,,,,,,,,,,7173933,,,,,,,
580,,,,,,,,,,6504512,,,,,,,
581,,,,,,,,,,2356391,,,,,,,
582,,,,,,,,,,7860044,,,,,,,
583,,,,,,,,,,1950635,,,,,,,
584,,,,,,,,,,1279253,,,,,,,
585,,,,,,,,,,853938,,,,,,,
586,,,,,,,,,,1377422,,,,,,,
587,,,,,,,,,,5871819,,,,,,,
588,,,,,,,,,,1110374,,,,,,,
589,,,,,,,,,,2473141,,,,,,,
590,,,,,,,,,,667031,,,,,,,
591,,,,,,,,,,1514851,,,,,,,
592,,,,,,,,,,2145079,,,,,,,
593,,,,,,,,,,1232835,,,,,,,
594,,,,,,,,,,55744,,,,,,,
595,,,,,,,,,,9255497,,,,,,,
596,,,,,,,,,,1258862,,,,,,,
597,,,,,,,,,,1110390,,,,,,,
598,,,,,,,,,,1988744,,,,,,,
599,,,,,,,,,,1697939,,,,,,,
600,,,,,,,,,,827888,,,,,,,
601,,,,,,,,,,4119559,,,,,,,
602,,,,,,,,,,1820685,,,,,,,
603,,,,,,,,,,1231379,,,,,,,
604,,,,,,,,,,1138739,,,,,,,
605,,,,,,,,,,6067947,,,,,,,
606,,,,,,,,,,5918467,,,,,,,
607,,,,,,,,,,1831173,,,,,,,
608,,,,,,,,,,1110391,,,,,,,
609,,,,,,,,,,2394929,,,,,,,
610,,,,,,,,,,859684,,,,,,,
611,,,,,,,,,,2151464,,,,,,,
612,,,,,,,,,,1970400,,,,,,,
613,,,,,,,,,,2018229,,,,,,,
614,,,,,,,,,,1255888,,,,,,,
615,,,,,,,,,,6186233,,,,,,,
616,,,,,,,,,,5711007,,,,,,,
617,,,,,,,,,,1110392,,,,,,,
618,,,,,,,,,,485868,,,,,,,
619,,,,,,,,,,2185370,,,,,,,
620,,,,,,,,,,1049046,,,,,,,
621,,,,,,,,,,1708918,,,,,,,
622,,,,,,,,,,1852694,,,,,,,
623,,,,,,,,,,3209611,,,,,,,
624,,,,,,,,,,1177883,,,,,,,
625,,,,,,,,,,5875354,,,,,,,
626,,,,,,,,,,22937,,,,,,,
627,,,,,,,,,,1110393,,,,,,,
628,,,,,,,,,,621057,,,,,,,
629,,,,,,,,,,944426,,,,,,,
630,,,,,,,,,,1476089,,,,,,,
631,,,,,,,,,,1773143,,,,,,,
632,,,,,,,,,,6414792,,,,,,,
633,,,,,,,,,,1694872,,,,,,,
634,,,,,,,,,,35371,,,,,,,
635,,,,,,,,,,5719749,,,,,,,
636,,,,,,,,,,1110394,,,,,,,
637,,,,,,,,,,3725370,,,,,,,
