,Company number:,NZBN:,Incorporation Date:,Company Status:,Entity type:,Constitution filed:,Ultimate holding company,Directors,Company record link:,company_id,address.Registered office address,address.Registered Office,address.Address for service,FRA Reporting Month:
658,,,,,,,,,,21869,,,,
659,,,,,,,,,,159385,,,,
660,,,,,,,,,,1484819,,,,
661,,,,,,,,,,1163201,,,,
662,,,,,,,,,,1703966,,,,
663,,,,,,,,,,8176939,,,,
664,,,,,,,,,,4191438,,,,
665,,,,,,,,,,2194253,,,,
666,,,,,,,,,,2101793,,,,
667,,,,,,,,,,1263763,,,,
668,,,,,,,,,,1720753,,,,
669,,,,,,,,,,19092,,,,
670,,,,,,,,,,1925251,,,,
671,,,,,,,,,,1660017,,,,
672,,,,,,,,,,6113967,,,,
673,,,,,,,,,,1850037,,,,
674,,,,,,,,,,6987780,,,,
675,,,,,,,,,,595231,,,,
676,,,,,,,,,,6333607,,,,
677,,,,,,,,,,209301,,,,
678,,,,,,,,,,3189045,,,,
679,,,,,,,,,,2145639,,,,
680,,,,,,,,,,1988406,,,,
681,,,,,,,,,,98234,,,,
682,,,,,,,,,,1914752,,,,
683,,,,,,,,,,1647745,,,,
684,,,,,,,,,,949829,,,,
685,,,,,,,,,,4409378,,,,
686,,,,,,,,,,1202652,,,,
687,,,,,,,,,,115491,,,,
688,,,,,,,,,,840279,,,,
689,,,,,,,,,,2314012,,,,
690,,,,,,,,,,6763333,,,,
691,,,,,,,,,,854536,,,,
692,,,,,,,,,,5480010,,,,
693,,,,,,,,,,1635869,,,,
694,,,,,,,,,,1916544,,,,
695,,,,,,,,,,8149269,,,,
696,,,,,,,,,,3279568,,,,
697,,,,,,,,,,1278423,,,,
698,,,,,,,,,,147859,,,,
699,,,,,,,,,,5489474,,,,
700,,,,,,,,,,1577799,,,,
701,,,,,,,,,,2501329,,,,
702,,,,,,,,,,1054791,,,,
703,,,,,,,,,,1966480,,,,
704,,,,,,,,,,8957109,,,,
705,,,,,,,,,,5547,,,,
706,,,,,,,,,,74040,,,,
707,,,,,,,,,,2157420,,,,
708,,,,,,,,,,78051,,,,
709,,,,,,,,,,1838817,,,,
710,,,,,,,,,,127230,,,,
711,,,,,,,,,,5960549,,,,
712,,,,,,,,,,2249055,,,,
713,,,,,,,,,,1538367,,,,
714,,,,,,,,,,103319,,,,
715,,,,,,,,,,5559446,,,,
716,,,,,,,,,,965481,,,,
717,,,,,,,,,,59043,,,,
718,,,,,,,,,,22731,,,,
719,,,,,,,,,,37383,,,,
720,,,,,,,,,,979442,,,,
721,,,,,,,,,,845483,,,,
722,,,,,,,,,,7757338,,,,
723,,,,,,,,,,1621546,,,,
724,,,,,,,,,,593961,,,,
725,,,,,,,,,,3303468,,,,
726,,,,,,,,,,72610,,,,
727,,,,,,,,,,63445,,,,
728,,,,,,,,,,3327996,,,,
729,,,,,,,,,,6722253,,,,
730,,,,,,,,,,147240,,,,
731,,,,,,,,,,1103861,,,,
732,,,,,,,,,,1773491,,,,
733,,,,,,,,,,927036,,,,
734,,,,,,,,,,7098373,,,,
735,,,,,,,,,,1514295,,,,
736,,,,,,,,,,1650008,,,,
737,,,,,,,,,,200198,,,,
738,,,,,,,,,,1035816,,,,
739,,,,,,,,,,1253509,,,,
740,,,,,,,,,,2056531,,,,
741,,,,,,,,,,6109247,,,,
742,,,,,,,,,,704647,,,,
743,,,,,,,,,,3903918,,,,
744,,,,,,,,,,618342,,,,
745,,,,,,,,,,1666240,,,,
746,,,,,,,,,,2214394,,,,
747,,,,,,,,,,99136,,,,
748,,,,,,,,,,3033681,,,,
749,,,,,,,,,,1361021,,,,
750,,,,,,,,,,164424,,,,
751,,,,,,,,,,6332451,,,,
752,,,,,,,,,,3590872,,,,
753,,,,,,,,,,1427359,,,,
754,,,,,,,,,,567205,,,,
755,,,,,,,,,,1055800,,,,
756,,,,,,,,,,5186461,,,,
757,,,,,,,,,,2185329,,,,
758,,,,,,,,,,2189034,,,,
759,,,,,,,,,,1796952,,,,
760,,,,,,,,,,198090,,,,
761,,,,,,,,,,1952162,,,,
762,,,,,,,,,,2389774,,,,
763,,,,,,,,,,5100461,,,,
764,,,,,,,,,,7325218,,,,
765,,,,,,,,,,1929385,,,,
766,,,,,,,,,,2401106,,,,
767,,,,,,,,,,7693676,,,,
768,,,,,,,,,,79966,,,,
769,,,,,,,,,,193046,,,,
770,,,,,,,,,,74578,,,,
771,,,,,,,,,,3186689,,,,
772,,,,,,,,,,7758756,,,,
773,,,,,,,,,,4368218,,,,
774,,,,,,,,,,8141834,,,,
775,,,,,,,,,,1671610,,,,
776,,,,,,,,,,4476719,,,,
777,,,,,,,,,,77911,,,,
778,,,,,,,,,,332114,,,,
779,,,,,,,,,,1525882,,,,
780,,,,,,,,,,2348671,,,,
781,,,,,,,,,,4070759,,,,
782,,,,,,,,,,986356,,,,
783,,,,,,,,,,2504233,,,,
784,,,,,,,,,,885191,,,,
785,,,,,,,,,,1984549,,,,
786,,,,,,,,,,1824860,,,,
787,,,,,,,,,,1505941,,,,
788,,,,,,,,,,146063,,,,
789,,,,,,,,,,160655,,,,
790,,,,,,,,,,611166,,,,
791,,,,,,,,,,5710847,,,,
792,,,,,,,,,,84290,,,,
793,,,,,,,,,,8250724,,,,
794,,,,,,,,,,1067259,,,,
795,,,,,,,,,,3240867,,,,
796,,,,,,,,,,930019,,,,
797,,,,,,,,,,4438901,,,,
798,,,,,,,,,,1281230,,,,
799,,,,,,,,,,97715,,,,
800,,,,,,,,,,427127,,,,
801,,,,,,,,,,1190096,,,,
802,,,,,,,,,,6253627,,,,
803,,,,,,,,,,1631309,,,,
804,,,,,,,,,,6967153,,,,
805,,,,,,,,,,1245980,,,,
806,,,,,,,,,,1572981,,,,
807,,,,,,,,,,5710414,,,,
808,,,,,,,,,,879359,,,,
809,,,,,,,,,,159259,,,,
810,,,,,,,,,,1149634,,,,
811,,,,,,,,,,685819,,,,
812,,,,,,,,,,1616660,,,,
813,,,,,,,,,,2306350,,,,
814,,,,,,,,,,103432,,,,
815,,,,,,,,,,520768,,,,
816,,,,,,,,,,1929382,,,,
817,,,,,,,,,,1467768,,,,
818,,,,,,,,,,2301961,,,,
819,,,,,,,,,,157804,,,,
820,,,,,,,,,,6071968,,,,
821,,,,,,,,,,1760793,,,,
822,,,,,,,,,,3249488,,,,
823,,,,,,,,,,1525749,,,,
824,,,,,,,,,,1540688,,,,
825,,,,,,,,,,1526856,,,,
826,,,,,,,,,,1139956,,,,
827,,,,,,,,,,3669575,,,,
828,,,,,,,,,,1330941,,,,
829,,,,,,,,,,58281,,,,
830,,,,,,,,,,5999509,,,,
831,,,,,,,,,,1609953,,,,
832,,,,,,,,,,1840917,,,,
833,,,,,,,,,,967497,,,,
834,,,,,,,,,,3823296,,,,
835,,,,,,,,,,6152207,,,,
836,,,,,,,,,,1000328,,,,
837,,,,,,,,,,1940217,,,,
838,,,,,,,,,,1002121,,,,
839,,,,,,,,,,1547966,,,,
840,,,,,,,,,,1891015,,,,
841,,,,,,,,,,1770087,,,,
842,,,,,,,,,,2219810,,,,
843,,,,,,,,,,353288,,,,
844,,,,,,,,,,8810449,,,,
845,,,,,,,,,,1929377,,,,
846,,,,,,,,,,7835,,,,
847,,,,,,,,,,3775656,,,,
848,,,,,,,,,,1176467,,,,
849,,,,,,,,,,67999,,,,
850,,,,,,,,,,3791357,,,,
851,,,,,,,,,,873585,,,,
852,,,,,,,,,,7875279,,,,
853,,,,,,,,,,852445,,,,
854,,,,,,,,,,1656856,,,,
855,,,,,,,,,,5697428,,,,
856,,,,,,,,,,6707955,,,,
857,,,,,,,,,,3337412,,,,
858,,,,,,,,,,11671,,,,
859,,,,,,,,,,44014,,,,
860,,,,,,,,,,6254130,,,,
861,,,,,,,,,,1597649,,,,
862,,,,,,,,,,1528742,,,,
863,,,,,,,,,,2077437,,,,
864,,,,,,,,,,2231111,,,,
865,,,,,,,,,,401607,,,,
866,,,,,,,,,,27738,,,,
867,,,,,,,,,,853394,,,,
868,,,,,,,,,,5967507,,,,
869,,,,,,,,,,5094301,,,,
870,,,,,,,,,,3208489,,,,
871,,,,,,,,,,167765,,,,
872,,,,,,,,,,897263,,,,
873,,,,,,,,,,839493,,,,
874,,,,,,,,,,2510591,,,,
875,,,,,,,,,,125424,,,,
876,,,,,,,,,,1703102,,,,
877,,,,,,,,,,5704408,,,,
878,,,,,,,,,,166629,,,,
879,,,,,,,,,,160103,,,,
880,,,,,,,,,,663516,,,,
881,,,,,,,,,,1300083,,,,
882,,,,,,,,,,1073910,,,,
883,,,,,,,,,,577412,,,,
884,,,,,,,,,,1910281,,,,
885,,,,,,,,,,5150781,,,,
886,,,,,,,,,,4441802,,,,
887,,,,,,,,,,167606,,,,
888,,,,,,,,,,6283717,,,,
889,,,,,,,,,,8132397,,,,
890,,,,,,,,,,1145225,,,,
891,,,,,,,,,,4651799,,,,
892,,,,,,,,,,2235120,,,,
893,,,,,,,,,,1337662,,,,
894,,,,,,,,,,1871763,,,,
895,,,,,,,,,,3037529,,,,
896,,,,,,,,,,1624400,,,,
897,,,,,,,,,,1272196,,,,
898,,,,,,,,,,118685,,,,
899,,,,,,,,,,43825,,,,
900,,,,,,,,,,5584645,,,,
901,,,,,,,,,,842637,,,,
902,,,,,,,,,,2097188,,,,
903,,,,,,,,,,1786418,,,,
904,,,,,,,,,,1399435,,,,
905,,,,,,,,,,45159,,,,
906,,,,,,,,,,1268716,,,,
907,,,,,,,,,,9974,,,,
908,,,,,,,,,,101676,,,,
909,,,,,,,,,,103683,,,,
910,,,,,,,,,,815958,,,,
911,,,,,,,,,,1960300,,,,
912,,,,,,,,,,2283516,,,,
913,,,,,,,,,,1907084,,,,
914,,,,,,,,,,2072269,,,,
915,,,,,,,,,,1243833,,,,
916,,,,,,,,,,8078860,,,,
