,company_id
0,2049354
1,71692
2,1276605
3,1033336
4,636575
5,2088593
6,2221194
7,1178858
8,1538723
9,7856694
10,145478
11,169083
12,518010
13,637698
14,1137787
15,2247344
16,1757010
17,2219764
18,2084587
19,1800803
20,1251232
21,2470908
22,1666892
23,8190342
24,373770
25,1538693
26,1788637
27,1546594
28,189955
29,4629739
30,56466
31,3758097
32,354986
33,8600188
34,1237316
35,1612723
36,1584958
37,8367785
38,62109
39,1250826
40,971609
41,931707
42,190684
43,824780
44,671339
45,2219852
46,1576563
47,1569483
48,1504266
49,1122999
50,1637589
51,188779
52,1231634
53,5020680
54,1166873
55,140939
56,3837197
57,6692193
58,154661
59,106491
60,82103
61,8089436
62,1850215
63,317342
64,4569760
65,1869691
66,1915571
67,1768794
68,8143397
69,304233
70,7274756
71,2181988
72,1756540
73,7929057
74,198956
75,1271010
76,140362
77,1868310
78,3049645
79,1031355
80,7316518
81,6066993
82,6598914
83,1283147
84,1586809
85,413718
86,6059849
87,3370
88,1787862
89,1544883
90,106728
91,1140146
92,7143338
93,1108889
94,1573767
95,605267
96,1930145
97,1025096
98,8159139
99,645530
100,1566286
101,1251145
102,4754619
103,1938272
104,1626531
105,1487267
106,5419924
107,5202781
108,1222832
109,1576261
110,1874524
111,8275960
112,1636421
113,1617767
114,5922362
115,1612502
116,1627083
117,3977178
118,2356455
119,2111585
120,1790184
121,1016987
122,1862685
123,1019574
124,200230
125,1121471
126,1857736
127,2298479
128,1720078
129,2121912
130,3363930
131,37876
132,4936099
133,155402
134,5386982
135,3689037
136,3916505
137,5749227
138,1193952
139,1695996
140,4467820
141,4101158
142,177683
143,3608051
144,6834055
145,1206765
146,15670
147,5486485
148,2367790
149,6085150
150,3327852
151,1862353
152,6892174
153,1428139
154,1280743
155,1853719
156,2136917
157,1841012
158,5523085
159,5796947
160,1751227
161,1488941
162,1109492
163,3349675
164,1160277
165,114149
166,5572405
167,703236
168,2167233
169,1628335
170,2492570
171,1951509
172,978224
173,2185547
174,1130838
175,2109444
176,2128662
177,5489470
178,1332868
179,6033808
180,1181514
181,1662704
182,1938748
183,1687555
184,3839876
185,654527
186,1908770
187,2135320
188,1481552
189,3379652
190,1841603
191,2351947
192,1808862
193,2310879
194,1264127
195,1138479
196,2118663
197,4471400
198,110734
199,1022591
200,1930821
201,1231045
202,1719018
203,8381081
204,8030189
205,5018940
206,159981
207,53563
208,24359
209,66569
210,949384
211,3752261
212,2186477
213,3262929
214,1584317
215,17294
216,94343
217,2211136
218,1116606
219,20808
220,5874559
221,1895108
222,1805493
223,1966767
224,1947147
225,1913773
226,8666830
227,2138989
228,5154841
229,3896677
230,3009364
231,3438
232,968688
233,1040326
234,4539760
235,7598060
236,3065386
237,1759975
238,6263034
239,6139311
240,2298292
241,4590059
242,1917496
243,1894994
244,1868867
245,4882759
246,1259519
247,2146216
248,854537
249,1290529
250,2214700
251,453164
252,1863734
253,1838151
254,1128621
255,8162071
256,8159125
257,1597596
258,3852596
259,3082166
260,1173352
261,1542832
262,7877539
263,5215361
264,1874593
265,2201709
266,7908260
267,5496489
268,8073358
269,6919797
270,1629766
271,156260
272,1141097
273,1793546
274,1375779
275,1378798
276,1430500
277,5318881
278,2065487
279,1113119
280,161320
281,187516
282,1581077
283,1760261
284,565228
285,2073036
286,1594908
287,957498
288,4099678
289,2167388
290,2203196
291,1863685
292,1648638
293,1733499
294,8821789
295,7922107
296,2267921
297,1731316
298,1989976
299,1905612
300,2195107
301,85482
302,3378096
303,1028226
304,4285578
305,1606555
306,245
307,2221195
308,1611361
309,1567950
310,4440883
311,1884665
312,5685927
313,91429
314,947969
315,7903016
316,102037
317,193598
318,6791595
319,1004062
320,1195856
321,1544317
322,5062661
323,78176
324,1035763
325,2082646
326,1255267
327,2144723
328,1208164
329,1711876
330,1525254
331,5518325
332,1852279
333,341094
334,3956778
335,2119709
336,1906648
337,1307764
338,1052909
339,1720836
340,1579991
341,948318
342,8648890
343,166832
344,894054
345,1015358
346,146386
347,2185064
348,1126073
349,6108891
350,1716843
351,1576052
352,7626776
353,5876848
354,1517392
355,962541
356,1192476
357,1144454
358,4626619
359,2102469
360,1213531
361,3638252
362,1204055
363,4192418
364,1557980
365,99240
366,469306
367,1832727
368,5331
369,1879062
370,5505234
371,2310133
372,1577951
373,3489934
374,9259392
375,1299843
376,820043
377,1617431
378,180131
379,1469163
380,1437679
381,2248664
382,1778810
383,2257051
384,1638667
385,5929411
386,5867488
387,822576
388,5691530
389,641763
390,186679
391,7159053
392,3725369
393,2115229
394,1733880
395,1918356
396,3292551
397,8128218
398,937804
399,682930
400,1230217
401,810960
402,2208838
403,2037234
404,1111485
405,1159379
406,2516749
407,1171922
408,570444
409,632886
410,1511733
411,158359
412,5509525
413,3942320
414,125997
415,1953350
416,1847400
417,1894995
